Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
W_Treds       27 bra   L 18  3  4  5 48 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Uvruch      23 jap   R 15  4  4  5 47 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Brurstew    23 bra   R 11  4  3  3 36 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ebtumew     27 usa   R  3 18  6  9 62 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ujewrtor    17 den RLC  5 16  9  9 50 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ryol        22 ire   C  4 15  8  9 32 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ifa         24 eng   C  3 14  9 10 39 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Iske        17 isr   L  3 14  9 11 50 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Kusako      25 usa RLC  4 14 10 11 50 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ishtevr     28 ire   C  4 13 10  9 59 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Grabte      21 bra   C  4 12 10 10 64 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Aryekros    26 usa   R  5 11 10  6 43 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Gadra       21 bra   R  4 11 10  8 47 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Vuny        17 hol   L  5  9 11  6 67 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Umnushtort  18 jap   L  4  9 19  6 74 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Dadn        23 ger   L  3  6 18 12 48 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Orosh       17 ire   L  3 10 16  8 72 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Fewndoind   23 spa  LC  4 11 16  9 29 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ovraebtick  26 usa   R  5 12 15  9 39 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Usku        23 saf  RC  4  7 15  9 50 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Drooskipo   26 nig   L  4  9 14  9 53 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Browrs      17 aus   C  4  6 13 12 33 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Ryors       27 ita   R  3  9 13 10 72 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Troskaj     17 ire   L  5  6 11 11 47 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Trojod      25 arg   L  4  9 10 14 54 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Rowc        19 usa  LC  3  8 11 15 28 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Bonicho     24 arg   L  3  6 10 15 72 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ufovru      20 nig   L  5  8  7 15 71 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Tibt        23 isr   R  4  6  9 14 44 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Vewmae      27 hol  LC  5  9  8 13 54 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

